CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_es,EquationCoefficients_a,EquationCoefficients_b,Status
840,840,"PROVOR, sin sensor de conductividad",Sin aplicación,Sin aplicación,Operational
841,841,"PROVOR, sensor de conductividad Sea-Bird",Sin aplicación,Sin aplicación,Operational
842,842,"PROVOR, sensor de conductividad FSI",Sin aplicación,Sin aplicación,Operational
843,843,"Sistema para determinar el perfil del océano polar, (POPS), PROVOR, SBE CTD",,,Operational
844,844,"Flotador perfilador ARVOR, sensor de conductividad Sea-Bird",,,Operational
845,845,"Webb Research, sin sensor de conductividad",Sin aplicación,Sin aplicación,Operational
846,846,"Webb Research, sensor de conductividad Sea-Bird",Sin aplicación,Sin aplicación,Operational
847,847,"Webb Research, sensor de conductividad FSI",Sin aplicación,Sin aplicación,Operational
848,848,"APEX–EM, sensor de conductividad SBE",,,Operational
849,849,"APEX_D, sensor de conductividad SBE",,,Operational
850,850,"SOLO, sin sensor de conductividad",Sin aplicación,Sin aplicación,Operational
851,851,"SOLO, sensor de conductividad Seabird",Sin aplicación,Sin aplicación,Operational
852,852,"SOLO, sensor de conductividad FSI",Sin aplicación,Sin aplicación,Operational
853,853,"Flotador perfilador, SOLO (SCRIPPS), sensor de conductividad Seabird",,,Operational
854,854,"S2A, sensor de conductividad SBE",Sin aplicación,Sin aplicación,Operational
855,855,"Flotador perfilador NINJA, sin sensor de conductividad",Sin aplicación,Sin aplicación,Operational
856,856,"Flotador perfilador NINJA, sensor de conductividad SBE",Sin aplicación,Sin aplicación,Operational
857,857,"Flotador perfilador NINJA, sensor de conductividad FSI",Sin aplicación,Sin aplicación,Operational
858,858,"Flotador perfilador NINJA, sensor de conductividad TSK",Sin aplicación,Sin aplicación,Operational
859,859,"Flotador perfilador NEMO, sin sensor de conductividad",Sin aplicación,Sin aplicación,Operational
860,860,"Flotador perfilador NEMO, sensor de conductividad SBE",Sin aplicación,Sin aplicación,Operational
861,861,"Flotador perfilador NEMO, sensor de conductividad FSI",Sin aplicación,Sin aplicación,Operational
862,862,"SOLO_D, sensor de conductividad SBE",,,Operational
863,863,"NAVIS–A, sensor de conductividad SBE",,,Operational
864,864,"NINJA_D, sensor de conductividad SBE",,,Operational
865,865,"NOVA, sensor de conductividad SBE",,,Operational
866,866,"ALAMO, sin sensor de conductividad",,,Operational
867,867,"ALAMO, sensor de conductividad RBR",,,Operational
868,868,"ALAMO, sensor de conductividad SBE",,,Operational
869,869,Reservada,,,Operational
870,870,HM2000,Sin aplicación,Sin aplicación,Operational
871,871,COPEX,Sin aplicación,Sin aplicación,Operational
872,872,S2X,Sin aplicación,Sin aplicación,Operational
873,873,ALTO,Sin aplicación,Sin aplicación,Operational
874,874,SOLO_D_MRV,Sin aplicación,Sin aplicación,Operational
875,875,ALTO RBR,Sin aplicación,Sin aplicación,Operational
876,876,ALTO SBE,Sin aplicación,Sin aplicación,Operational
877,877,APEX RBR,Sin aplicación,Sin aplicación,Operational
878,878,ARVOR RBR,Sin aplicación,Sin aplicación,Operational
879,879,SOLO II RBR,Sin aplicación,Sin aplicación,Operational
880,880,S2A RBR,Sin aplicación,Sin aplicación,Operational
881–899,881–899,Reservadas,,,Operational
900,900,Sippican LMP-5 XBT,9.727,–0.0473,Operational
901,901,Perfilador anclado al hielo SBE CTD,,,Operational
902,902,Brooke Ocean Moving Vessel Profiler (MVP),,,Operational
903,903,CTD Sea-Bird,,,Operational
904,904,CTD AML Oceanographic,,,Operational
905,905,CTD Falmouth Scientific,,,Operational
906,906,CTD Ocean Sensors,,,Operational
907,907,CTD Valeport,,,Operational
908,908,Perfilador de buques en movimiento Ocean Science,,,Operational
909,909,CTD IDRONAUT,,,Operational
910,910,SBE38 Sea-Bird,,,Operational
911–994,911–994,Reservadas,,,Operational
995,995,Instrumentos sujetos a mamíferos marinos,Sin aplicación,Sin aplicación,Operational
996,996,Instrumentos sujetos a animales distintos de los mamíferos marinos,Sin aplicación,Sin aplicación,Operational
997–999,997–999,Reservadas,,,Operational
,1000–1022,Reservadas,,,Operational
,1023,Valor faltante,,,Operational
