"No","CodeFigureForI6I6I6","CodeFigureForBUFR","CodeFigureForGRIB2","SatelliteName_en","Status"
67.00,"226","226","226","NOAA 21","Operational"
68.00,"240","240","240","DMSP 7","Operational"
69.00,"241","241","241","DMSP 8","Operational"
70.00,"242","242","242","DMSP 9","Operational"
71.00,"243","243","243","DMSP 10","Operational"
72.00,"244","244","244","DMSP 11","Operational"
73.00,"245","245","245","DMSP 12","Operational"
74.00,"246","246","246","DMSP 13","Operational"
75.00,"247","247","247","DMSP 14","Operational"
76.00,"248","248","248","DMSP 15","Operational"
77.00,"249","249","249","DMSP 16","Operational"
78.00,"250","250","250","GOES 6","Operational"
79.00,"251","251","251","GOES 7","Operational"
80.00,"252","252","252","GOES 8","Operational"
81.00,"253","253","253","GOES 9","Operational"
82.00,"254","254","254","GOES 10","Operational"
83.00,"255","255","255","GOES 11","Operational"
84.00,"256","256","256","GOES 12","Operational"
85.00,"257","257","257","GOES 13","Operational"
86.00,"258","258","258","GOES 14","Operational"
87.00,"259","259","259","GOES 15","Operational"
88.00,"260","260","260","JASON 1","Operational"
89.00,"261","261","261","JASON 2","Operational"
90.00,"262","262","262","JASON 3","Operational"
91.00,"270","270","270","GOES 16","Operational"
92.00,"271","271","271","GOES 17","Operational"
93.00,"272","272","272","GOES 18","Operational"
94.00,"273","273","273","GOES 19","Operational"
95.00,"281","281","281","QUIKSCAT","Operational"
96.00,"282","282","282","TRMM","Operational"
97.00,"283","283","283","CORIOLIS","Operational"
98.00,"285","285","285","DMSP 17","Operational"
99.00,"286","286","286","DMSP 18","Operational"
100.00,"287","287","287","DMSP 19","Operational"
101.00,"288","288","288","GPM-core","Operational"
102.00,"289","289","289","Orbiting Carbon Observatory - 2 (OCO-2, NASA)","Operational"
103.00,,,,"300-399: Numbers allocated to the Russian Federation","Operational"
104.00,"310","310","310","GOMS 1","Operational"
105.00,"311","311","311","GOMS 2","Operational"
106.00,"320","320","320","METEOR 2-21","Operational"
107.00,"321","321","321","METEOR 3-5","Operational"
108.00,"322","322","322","METEOR 3M-1","Operational"
109.00,"323","323","323","METEOR 3M-2","Operational"
110.00,"341","341","341","RESURS 01-4","Operational"
111.00,,,,"400-499: Numbers allocated to India","Operational"
112.00,"410","410","410","KALPANA-1","Operational"
113.00,"421","421","421","Oceansat-2","Operational"
114.00,"422","422","422","ScatSat-1","Operational"
115.00,"430","430","430","INSAT 1B","Operational"
116.00,"431","431","431","INSAT 1C","Operational"
117.00,"432","432","432","INSAT 1D","Operational"
118.00,"440","440","440","Megha-Tropiques","Operational"
119.00,"441","441","441","SARAL","Operational"
120.00,"450","450","450","INSAT 2A","Operational"
121.00,"451","451","451","INSAT 2B","Operational"
122.00,"452","452","452","INSAT 2E","Operational"
123.00,"470","470","470","INSAT 3A","Operational"
124.00,"471","471","471","INSAT 3D","Operational"
125.00,"472","472","472","INSAT 3E","Operational"
126.00,,,,"500-599: Numbers allocated to China","Operational"
127.00,"500","500","500","FY-1C","Operational"
128.00,"501","501","501","FY-1D","Operational"
129.00,"502","502","502","Hai Yang 2A (HY-2A, SOA/NSOAS China)","Operational"
130.00,"510","510","510","FY-2","Operational"
131.00,"512","512","512","FY-2B","Operational"
132.00,"513","513","513","FY-2C","Operational"
133.00,"514","514","514","FY-2D","Operational"
134.00,"515","515","515","FY-2E","Operational"
135.00,"516","516","516","FY-2F","Operational"
136.00,"517","517","517","FY-2G","Operational"
137.00,"520","520","520","FY-3A","Operational"
138.00,"521","521","521","FY-3B","Operational"
139.00,"522","522","522","FY-3C","Operational"
140.00,"523","523","523","FY-3D","Operational"
141.00,,,,"600-699: Numbers allocated to Europe","Operational"
142.00,,,,"700-799: Numbers allocated to the United States","Operational"
143.00,"700","700","700","TIROS M (ITOS 1)","Operational"
144.00,"701","701","701","NOAA 1","Operational"
145.00,"702","702","702","NOAA 2","Operational"
146.00,"703","703","703","NOAA 3","Operational"
147.00,"704","704","704","NOAA 4","Operational"
148.00,"705","705","705","NOAA 5","Operational"
149.00,"706","706","706","NOAA 6","Operational"
150.00,"707","707","707","NOAA 7","Operational"
151.00,"708","708","708","TIROS-N","Operational"
152.00,"710","710","710","GOES (SMS 1)","Operational"
153.00,"711","711","711","GOES (SMS 2)","Operational"
154.00,"720","720","720","TOPEX","Operational"
155.00,"721","721","721","GFO (GEOSAT follow on)","Operational"
156.00,"722","722","722","GRACE A","Operational"
157.00,"723","723","723","GRACE B","Operational"
158.00,"724","724","724","COSMIC-2 P1","Operational"
159.00,"725","725","725","COSMIC-2 P2","Operational"
160.00,"726","726","726","COSMIC-2 P3","Operational"
161.00,"727","727","727","COSMIC-2 P4","Operational"
162.00,"728","728","728","COSMIC-2 P5","Operational"
163.00,"729","729","729","COSMIC-2 P6","Operational"
164.00,"731","731","731","GOES 1","Operational"
165.00,"732","732","732","GOES 2","Operational"
166.00,"733","733","733","GOES 3","Operational"
167.00,"734","734","734","GOES 4","Operational"
168.00,"735","735","735","GOES 5","Operational"
169.00,"740","740","740","COSMIC-1","Operational"
170.00,"741","741","741","COSMIC-2","Operational"
171.00,"742","742","742","COSMIC-3","Operational"
172.00,"743","743","743","COSMIC-4","Operational"
173.00,"744","744","744","COSMIC-5","Operational"
174.00,"745","745","745","COSMIC-6","Operational"
175.00,"750","750","750","COSMIC-2 E1","Operational"
176.00,"751","751","751","COSMIC-2 E2","Operational"
177.00,"752","752","752","COSMIC-2 E3","Operational"
178.00,"753","753","753","COSMIC-2 E4","Operational"
179.00,"754","754","754","COSMIC-2 E5","Operational"
180.00,"755","755","755","COSMIC-2 E6","Operational"
181.00,"763","763","763","NIMBUS 3","Operational"
182.00,"764","764","764","NIMBUS 4","Operational"
183.00,"765","765","765","NIMBUS 5","Operational"
184.00,"766","766","766","NIMBUS 6","Operational"
185.00,"767","767","767","NIMBUS 7","Operational"
186.00,"780","780","780","ERBS","Operational"
187.00,"781","781","781","UARS","Operational"
188.00,"782","782","782","EARTH PROBE","Operational"
189.00,"783","783","783","TERRA","Operational"
190.00,"784","784","784","AQUA","Operational"
191.00,"785","785","785","AURA","Operational"
192.00,"786","786","786","C/NOFS","Operational"
193.00,"787","787","787","CALIPSO","Operational"
194.00,"788","788","788","CloudSat","Operational"
195.00,,,,"800-849 Numbers allocated to other satellite operators","Operational"
196.00,"800","800","800","SUNSAT","Operational"
197.00,"801","801","801","International Space Station (ISS)","Operational"
198.00,"810","810","810","COMS-1","Operational"
199.00,"811","811","811","COMS-2","Operational"
200.00,"812","812","812","SCISAT-1","Operational"
201.00,"813","813","813","ODIN","Operational"
202.00,"820","820","820","SAC-C","Operational"
203.00,"821","821","821","SAC-D","Operational"
204.00,"825","825","825","KOMPSAT-5","Operational"
205.00,"850","850","850","Combination of TERRA and AQUA","Operational"
206.00,"851","851","851","Combination of NOAA 16 to NOAA 19","Operational"
207.00,"852","852","852","Combination of Metop-1 to Metop-3","Operational"
208.00,"853","853","853","Combination of METEOSAT and DMSP","Operational"
209.00,"854","854","854","Non-specific mixture of geostationary and low Earth-orbiting satellites","Operational"
210.00,"870-998","870-998","870-998","Reserved","Operational"
211.00,"999 Missing value","999-1022","999-65534","Reserved","Operational"
212.00,,"1023","65535","Missing value","Operational"
