"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
99.00,"290","JMA","Communications","MTSAT Comms","Communications package for MTSAT",
100.00,"291","JMA","Communications","Himawari Comms","Communications package for Himawari",
101.00,"294","JMA","Imaging multi-spectral radiometer","JAMI","Japanese Advanced Meteorological Imager",
102.00,"295","JMA","Imaging multi-spectral radiometer","IMAGER/MTSAT-2","Imager/MTSAT-2",
103.00,"296","JMA","Imaging multi-spectral radiometer","VISSR","Visible and infrared spin scan radiometer",
104.00,"297","JMA","Imaging multi-spectral radiometer","AHI","Advanced Himawari Imager",
105.00,"300","NASA","Lidar","GLAS","Geoscience laser altimeter system",
106.00,"301","NASA","Precision orbit","LRA","Laser retroreflector array",
107.00,"302","NASA","Lidar","MBLA","Multi-beam laser altimeter",
108.00,"303","NASA","Lidar","CALIOP","Cloud-aerosol lidar with orthogonal polarization",
109.00,"309","NASA","Cloud profile and rain radar","CPR (Cloudsat)","Cloud profiling radar",
110.00,"312","NASA","Radar","NSCAT","NASA scatterometer",
111.00,"313","NASA","Radar","SeaWinds","ADEOS II - NASA scatterometer",
112.00,"314","NASA","Radar","RapidScat","RapidScat scatterometer",
113.00,"330","NASA","Earth radiation budget radiometer","ACRIM","Active cavity radiometer irradiance monitor",
114.00,"334","NASA","Total and profile ozone","BUV","Backscatter ultraviolet instrument",
115.00,"336","NASA","High-resolution optical imager","ALI","Advanced land imager",
116.00,"347","NASA","High-resolution optical imager","ASTER","Advanced spaceborne thermal emission and reflection radiometer",
117.00,"348","NASA","Earth radiation budget radiometer","CERES-2","Cloud and the Earth's radiant energy system",
118.00,"351","NASA","Atmospheric temperature and humidity sounder","GPSDR","GPS demonstration receiver",
119.00,"353","NASA","Total and profile ozone","HiRDLS","High-resolution dynamics limb sounder",
120.00,"354","NASA","Total and profile ozone","HRDI","High-resolution Doppler imager",
121.00,"356","NASA","Radiometer","LIS","Lightning imaging sensor",
122.00,"358","NASA","Magnetic field, auroal imagery scintillation boundary","PEM","Particle environment monitor",
123.00,"359","NASA","Ocean colour instrument","SeaWiFS","Sea-viewing wide field-of-view sensor",
124.00,"360","NASA","Earth radiation budget radiometer","SUSIM (UARS)","Solar ultraviolet irradiance monitor",
125.00,"363","NASA","Total and profile ozone","SBUV/1","Solar backscatter ultraviolet 1 instrument",
126.00,"365","NASA","Imaging multi-spectral radiometer (passive microwave)","TMI","TRMM microwave imager",
127.00,"366","NASA","Imaging multi-spectral radiometer (passive microwave)","JMR","JASON-1 microwave radiometer",
128.00,"367","NASA","Imaging multi-spectral radiometer","AMR","Advanced microwave radiometer",
129.00,"369","NASA","Total and profile ozone","LIMS","Limb infrared monitor of the stratosphere",
130.00,"370","NASA","Total and profile ozone","LRIR","Limb radiance inversion radiometer instrument",
131.00,"371","NASA","Total and profile ozone","EPIC","Earth polychromatic imaging camera",
132.00,"372","NASA","Earth radiation budget radiometer","NISTAR","NIST advanced radiometer",
133.00,"373","NASA","Magnetic field, auroal imagery scintillation boundary","Plasma-Mag",,
134.00,"374","NASA","Other","XPS","XUV photometer system",
135.00,"375","NASA","Imaging multi-spectral radiometer (vis/IR)","VIRS","Visible infrared scanner",
136.00,"376","CNES","Multiple direction/polarization radiometer","POLDER II","Polarization and directionality of the Earth's reflectance-II",
137.00,"377","NASA","Earth radiation budget radiometer","TIM","Total irradiance monitor",
138.00,"379","NASA","Imaging multi-spectral radiometer (vis/IR)","WFC","Wide field camera",
139.00,"382","NASA","Spectro-radiometer","CLAES","Cryogenic limb array etalon spectrometer",
140.00,"383","NASA","Spectro-radiometer","HALOE","Halogen occultation experiment",
141.00,"384","NASA","Spectro-radiometer","ISAMS","Improved stratospheric and mesospheric sounder",
142.00,"385","NASA","Spectro-radiometer","MISR","Multi-angle imaging spectroradiometer",
