Code,Agency_en,Type_fr,InstrumentShortName_fr,InstrumentLongName_fr,Status
851,ROSCOSMOS,Spectromètre,BUFS-4,Spectromètre à rétrodiffusion/4,Operational
855,ROSCOSMOS,Spectromètre,ISTOK-1,Spectromètre infrarouge,Operational
856,ROSCOSMOS,Spectromètre,SFM-2,Spectromètre mesurant le rayonnement solaire direct,Operational
857,ROSCOSMOS,Spectromètre,DOPI,,Operational
858,ROSCOSMOS,Spectromètre,KGI-4,,Operational
859,ROSCOSMOS,Spectromètre,Ozon-M,,Operational
860,ROSCOSMOS,Spectromètre,RMK-2,,Operational
900,NOAA,Radiomètre,MAXIE,Expérience d'imagerie par les rayons X dans la magnétosphère et l'atmosphère,Operational
901,NOAA,Radiomètre,OLS,Système de balayage horizontal opérationnel,Operational
905,NOAA,Radiomètre,SSM/I,Imageur hyperfréquence à capteur de mission,Operational
906,NOAA,Radiomètre,SSM/T-1,Sondeur de température hyperfréquence à capteur de mission,Operational
907,NOAA,Radiomètre,SSM/T-2,Sondeur de vapeur d'eau hyperfréquence à capteur de mission,Operational
908,NOAA,Radiomètre,SSMIS,Sondeur imageur hyperfréquence (capteur spécial),Operational
910,NOAA,Radiomètre,SXI,Imageur de rayons X solaires,Operational
930,NOAA,Spectromètre,EHIC,Expérience sur la composition énergétique des ions lourds,Operational
931,NOAA,Spectromètre,Charge utile: rayons X astronomiques,,Operational
932,NRSCC,Radiomètre imageur multispectral (vis/IR),IVISSR (FY-2),Radiomètre amélioré à balayage multispectral dans le spectre visible et l'infrarouge (5 canaux),Operational
933,NRSCC,Sondeur de température et d'humidité de l'atmosphère,IRAS,Sondeur atmosphérique infrarouge,Operational
934,NRSCC,Sondeur de température et d'humidité de l'atmosphère,MWAS,Sondeur atmosphérique hyperfréquence,Operational
935,NRSCC,Sondeur de température et d'humidité de l'atmosphère,IMWAS,Sondeur atmosphérique hyperfréquence amélioré,Operational
936,NRSCC,Sondeur de température et d'humidité de l'atmosphère,MWHS,Sondeur d'humidité hyperfréquence,Operational
937,NRSCC,Radiomètre imageur multispectral (vis/IR),MVIRS,Spectromètre imageur à moyenne résolution dans le spectre visible et l'infrarouge,Operational
938,NRSCC,Radiomètre imageur multispectral (hyperfréquence passive),MWRI,Imageur à rayonnement hyperfréquence,Operational
940,ROSCOSMOS,Sondeur de température et d'humidité de l'atmosphère,MTVZA-CK,Radiomètre hyperfréquence à balayage,Operational
941,CNES,Sondeur de température et d'humidité de l'atmosphère,SAPHIR,,Operational
942,CNES,Imageur hyperfréquence,MADRAS,Analyse et détection de la pluie et des structures atmosphériques par imagerie micro-ondes,Operational
943,CNSA,Diffusiomètre,SCAT (sur CFOSAT),Diffusiomètre,Operational
944,NOAA,Altimètre radar,ALT,Altimètre,Operational
945,NOAA,Radiomètre pour la mesure du bilan radiatif de la Terre,TSIS,Capteur de rayonnement solaire total,Operational
946,NOAA,Radiomètre imageur multispectral (hyperfréquence passive),CMIS,Sondeur/imageur hyperfréquence à balayage conique,Operational
947,NOAA,Instrument de mesure de l'ozone total et du profil de l'ozone,OMPS,Ensemble de cartographies et de profils de l'ozone,Operational
948,NOAA,"Sondeur de l'environnement spatial, sondeur de température et d'humidité de l'atmosphère",GPSOS,Capteur à occultation GPS,Operational
949,NOAA,"Champ magnétique, imagerie aurorale, seuil de scintillation",SESS,Ensemble de capteurs pour la mesure de l'environnement spatial,Operational
950,NRSCC,Radiomètre imageur multispectral (vis/IR),VIRR,Radiomètre à balayage multispectral dans le spectre visible et l'infrarouge (10 canaux),Operational
951,NRSCC,Instrument de mesure de l'ozone total et du profil de l'ozone,TOM,Imageur d'ozone total,Operational
952,NRSCC,Instrument de mesure de l'ozone total et du profil de l'ozone,OP,Instrument de mesure du profil de l'ozone,Operational
953,CMA,"Radiomètre capteur hyperfréquence, balayage perpendiculaire à la trajectoire",MWHS-2,Capteur d'humidité hyperfréquence – 2,Operational
954,CMA,"Radiomètre capteur hyperfréquence, balayage perpendiculaire à la trajectoire",MWTS-2,Capteur de température hyperfréquence - 2,Operational
955,CMA,"Capteur infrarouge, balayage transversal",HIRAS,Capteur atmosphérique hyperspectral infrarouge,Operational
956,CMA,Spectromètre,SBUS,Capteur du rayonnement solaire ultraviolet rétrodiffusé,Operational
957,CMA,Spectromètre,TOU,Unité d'ozone,Operational
958,CMA,Capteur à occultation GNSS,GNOS,Capteur à occultation - Système mondial de navigation par satellite,Operational
959,SNSB,Sondage au limbe,SMR,Radiomètre en ondes submillimétriques,Operational
960,En réserve,,,,Operational
961,CMA,Radiomètre imageur multispectral,AGRI,Imageur à rayonnement géosynchrone perfectionné,Operational
962,CMA,Sondeur de température et d'humidité de l'atmosphère,GIIRS,Sondeur infrarouge interférométrique géosynchrone,Operational
963,CMA,Imageur optique à haute résolution,LMI,Imageur pour cartographie de la foudre,Operational
964,CMA,Environnement spatial,SEP,Dispositif pour l'étude de l'environnement spatial,Operational
965-979,En réserve,,,,Operational
980,KMA,Imageur,AMI,Imageur météorologique perfectionné,Operational
981,KMA,Imageur,MI,Imageur météorologique,Operational
982,KMA,Environnement spatial,KSEM,Dispositif coréen de surveillance de la météorologie de l'espace,Operational
983-999,En réserve,,,,Operational
1000-2046,Réservés à un usage futur à long terme,,,,Operational
2047,Valeur manquante,,,,Operational
