CodeFigure_OriginatingCentres,Name_OriginatingCentres_fr,CodeFigure_SubCentres,Name_SubCentres_fr,Status
2,Melbourne,235,Nouméa,Operational
2,Melbourne,237,Papeete,Operational
2,Melbourne,250,Vladivostock,Operational
2,Melbourne,251,Guam,Operational
2,Melbourne,252,Honolulu,Operational
69,Wellington (CMRS),204,National Institute of Water and Atmospheric Research (NIWA – Nouvelle-Zélande),Operational
69,Wellington (CMRS),205,Nioué,Operational
69,Wellington (CMRS),206,Rarotonga (Îles Cook),Operational
69,Wellington (CMRS),207,Apia (Samoa),Operational
69,Wellington (CMRS),208,Tonga,Operational
69,Wellington (CMRS),209,Tuvalu,Operational
69,Wellington (CMRS),210,Kiribati,Operational
69,Wellington (CMRS),211,Tokélaou,Operational
69,Wellington (CMRS),243,Kelburn,Operational
72,Singapour,249,Singapour,Operational
191,Polynésie française (CMN),1,Station RARS de Tahiti (Polynésie française),Operational
204,National Institute of Water and Atmospheric Research (NIWA) – Nouvelle-Zélande,101,Maupia,Operational
204,National Institute of Water and Atmospheric Research (NIWA) – Nouvelle-Zélande,102,Lauder,Operational
,RÉGION VI,,,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",1,Shanwick Oceanic Area Control Centre,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",2,Fucino,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",3,Gatineau,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",4,Maspalomas (Espagne),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",5,ESA ERS Central Facility,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",6,Prince Albert,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",7,West Freugh,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",13,Tromsø,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",21,Agenzia Spaziale Italiana (Italie),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",22,Centre national de la recherche scientifique (France),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",23,GeoForschungs Zentrum (Allemagne),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",24,Geodetic Observatory Pecny (Tchéquie),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",25,Institut d'Estudis Espacials de Catalunya (Espagne),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",26,Office fédéral de topographie (Suisse),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",27,Nordic Commission of Geodesy (Norvège),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",28,Nordic Commission of Geodesy (Suède),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",29,Institut géographique national (France) – Service de géodésie,Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",30,Bundesamt für Kartographie und Geodäsie (Allemagne),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",31,Institute of Engineering Satellite Surveying and Geodesy (Royaume-Uni),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",32,Joint Operational Meteorology and Oceanography Centre (JOMOC),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",33,Koninklijk Nederlands Meteorologisch Institut (Pays-Bas),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",34,Nordic GPS Atmospheric Analysis Centre (Suède),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",35,Instituto Geográfico Nacional de España (Espagne),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",36,Met Eireann (Irlande),Operational
74,"Met Office du Royaume-Uni, Exeter (CMRS)",37,Observatoire royal de Belgique (Belgique),Operational
78,Offenbach (CMRS),010,POLARA (Centre d'études des algorithmes de polarimétrie radar),Operational
78,Offenbach (CMRS),064,Bureau d'information géographique de l'armée allemande (BGIO),Operational
78,Offenbach (CMRS),110,NowCast mobile (données sur la foudre),Operational
78,Offenbach (CMRS),221,"Schleswig-Holstein, Centre de calcul pour la circulation (TOCC) de Kiel/Neumünster",Operational
78,Offenbach (CMRS),222,"Hambourg, TOCC de Hambourg",Operational
78,Offenbach (CMRS),223,"Basse Saxe, TOCC de Hanovre",Operational
78,Offenbach (CMRS),224,Autriche (CMN),Operational
78,Offenbach (CMRS),225,"Rhénanie du Nord-Westphalie, TOCC de Kamen et de Leverkusen",Operational
78,Offenbach (CMRS),226,"Hesse, TOCC de Rüsselsheim",Operational
78,Offenbach (CMRS),227,"Rhénanie-Palatinat, TOCC de Coblence",Operational
78,Offenbach (CMRS),228,"Bade-Wurtemberg, TOCC de Ludwigsbourg",Operational
78,Offenbach (CMRS),229,"Bavière, TOCC de Freimann",Operational
78,Offenbach (CMRS),230,"Sarre, TOCC de Rohrbach",Operational
78,Offenbach (CMRS),231,"Bavière, Direction des autoroutes du nord de la Bavière",Operational
78,Offenbach (CMRS),232,"Brandebourg, TOCC de Stolpe",Operational
78,Offenbach (CMRS),233,"Mecklembourg-Poméranie occidentale, TOCC de Malchow",Operational
78,Offenbach (CMRS),234,"Saxe, TOCC de Dresde",Operational
78,Offenbach (CMRS),235,"Saxe-Anhalt, TOCC de Halle",Operational
78,Offenbach (CMRS),236,"Thuringe, TOCC d'Erfurt",Operational
78,Offenbach (CMRS),237,EasyWay - Meteotrans,Operational
78,Offenbach (CMRS),254,EUMETSAT,Operational
80,Rome (CMRS),101,Albanie (CMN),Operational
80,Rome (CMRS),102,"Institut des sciences de l'atmosphère et du climat, Conseil national de la recherche (ISAC-CNR)",Operational
85,Toulouse (CMRS),200,Institut national de l'environnement industriel et des risques (France),Operational
85,Toulouse (CMRS),201,Rheinisches Institut für Umweltforschung an der Universität zu Köln E.V. (Allemagne),Operational
85,Toulouse (CMRS),202,Institut français de recherche pour l'exploitation de la mer,Operational
85,Toulouse (CMRS),203,Université d'Aarhus (Danemark),Operational
85,Toulouse (CMRS),204,Institut de protection environnementale – Institut national de recherche (Pologne),Operational
89,Prague (RTH),1,Observatoire du rayonnement solaire et de l'ozone de Hradec Kralove,Operational
96,Athènes,1,Chypre (CMN),Operational
227,Belgique (CMN),1,Luxembourg (CMN),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),76,Roshydromet (Fédération de Russie),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),78,Deutscher Wetterdienst (Allemagne),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),80,Ufficio Generale Spazio Aereo e Meteorologia (Italie),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),96,Service météorologique grec (Grèce),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),215,Météo Suisse (Suisse),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),220,Institut de météorologie et de gestion des ressources en eau (Pologne),Operational
250,COSMO (Consortium pour la modélisation à petite échelle),242,Service météorologique national (Roumanie),Operational
254,Centre d'exploitation d'EUMETSAT,10,Tromsø (Norvège),Operational
254,Centre d'exploitation d'EUMETSAT,20,Maspalomas (Espagne),Operational
254,Centre d'exploitation d'EUMETSAT,30,Kangerlussuaq (Groenland),Operational
254,Centre d'exploitation d'EUMETSAT,40,Edmonton (Canada),Operational
254,Centre d'exploitation d'EUMETSAT,50,Bedford (Canada),Operational
254,Centre d'exploitation d'EUMETSAT,60,Gander (Canada),Operational
254,Centre d'exploitation d'EUMETSAT,70,Monterey (États-Unis d'Amérique),Operational
254,Centre d'exploitation d'EUMETSAT,80,Wallops Island (États-Unis d'Amérique),Operational
254,Centre d'exploitation d'EUMETSAT,90,Gilmor Creek (États-Unis d'Amérique),Operational
254,Centre d'exploitation d'EUMETSAT,100,Athènes (Grèce),Operational
254,Centre d'exploitation d'EUMETSAT,120,"Ewa Beach, Hawaii",Operational
254,Centre d'exploitation d'EUMETSAT,125,"Île de Ford, Hawaii",Operational
254,Centre d'exploitation d'EUMETSAT,130,"Miami, Floride",Operational
254,Centre d'exploitation d'EUMETSAT,140,Lannion (France),Operational
254,Centre d'exploitation d'EUMETSAT,150,Svalbard (Norvège),Operational
254,Centre d'exploitation d'EUMETSAT,170,Saint-Denis (La Réunion),Operational
254,Centre d'exploitation d'EUMETSAT,180,Moscou,Operational
254,Centre d'exploitation d'EUMETSAT,190,Mascate,Operational
254,Centre d'exploitation d'EUMETSAT,200,Khabarovsk,Operational
254,Centre d'exploitation d'EUMETSAT,210,Novosibirsk,Operational
