CodeFigure,Meaning_fr,ChemicalFormula,Status
30068,Strontium 91,Sr-91,Operational
30069,Strontium 92,Sr-92,Operational
30070,Yttrium 87,Y-87,Operational
30071,Yttrium 88,Y-88,Operational
30072,Yttrium 90,Y-90,Operational
30073,Yttrium 91,Y-91,Operational
30074,Yttrium 91 métastable,Y-91m,Operational
30075,Yttrium 92,Y-92,Operational
30076,Yttrium 93,Y-93,Operational
30077,Zirconium 89,Zr-89,Operational
30078,Zirconium 93,Zr-93,Operational
30079,Zirconium 95,Zr-95,Operational
30080,Zirconium 97,Zr-97,Operational
30081,Niobium 93 métastable,Nb-93m,Operational
30082,Niobium 94,Nb-94,Operational
30083,Niobium 95,Nb-95,Operational
30084,Niobium 95 métastable,Nb-95m,Operational
30085,Niobium 97,Nb-97,Operational
30086,Niobium 97 métastable,Nb-97m,Operational
30087,Molybdène 93,Mo-93,Operational
30088,Molybdène 99,Mo-99,Operational
30089,Technétium 95 métastable,Tc-95m,Operational
30090,Technétium 96,Tc-96,Operational
30091,Technétium 99,Tc-99,Operational
30092,Technétium 99 métastable,Tc-99m,Operational
30093,Rhodium 99,Rh-99,Operational
30094,Rhodium 101,Rh-101,Operational
30095,Rhodium 102 métastable,Rh-102m,Operational
30096,Rhodium 103 métastable,Rh-103m,Operational
30097,Rhodium 105,Rh-105,Operational
30098,Rhodium 106,Rh-106,Operational
30099,Palladium 100,Pd-100,Operational
30100,Palladium 103,Pd-103,Operational
30101,Palladium 107,Pd-107,Operational
30102,Ruthénium 103,Ru-103,Operational
30103,Ruthénium 105,Ru-105,Operational
30104,Ruthénium 106,Ru-106,Operational
30105,Argent 108 métastable,Ag-108m,Operational
30106,Argent 110 métastable,Ag-110m,Operational
30107,Cadmium 109,Cd-109,Operational
30108,Cadmium 113 métastable,Cd-113m,Operational
30109,Cadmium 115 métastable,Cd-115m,Operational
30110,Indium 114 métastable,In-114m,Operational
30111,Étain 113,Sn-113,Operational
30112,Étain 119 métastable,Sn-119m,Operational
30113,Étain 121 métastable,Sn-121m,Operational
30114,Étain 122,Sn-122,Operational
30115,Étain 123,Sn-123,Operational
30116,Étain 126,Sn-126,Operational
30117,Antimoine 124,Sb-124,Operational
30118,Antimoine 125,Sb-125,Operational
30119,Antimoine 126,Sb-126,Operational
30120,Antimoine 127,Sb-127,Operational
30121,Antimoine 129,Sb-129,Operational
30122,Tellure 123 métastable,Te-123m,Operational
30123,Tellure 125 métastable,Te-125m,Operational
30124,Tellure 127,Te-127,Operational
30125,Tellure 127 métastable,Te-127m,Operational
30126,Tellure 129,Te-129,Operational
30127,Tellure 129 métastable,Te-129m,Operational
30128,Tellure 131 métastable,Te-131m,Operational
30129,Tellure 132,Te-132,Operational
30130,Iode 123,I-123,Operational
30131,Iode 124,I-124,Operational
30132,Iode 125,I-125,Operational
30133,Iode 126,I-126,Operational
30134,Iode 129,I-129,Operational
30135,Iode 129 élémentaire gazeux,I-129g,Operational
30136,Iode 129 organique lié,I-129o,Operational
30137,Iode 131,I-131,Operational
30138,Iode 131 élémentaire gazeux,I-131g,Operational
30139,Iode 131 organique lié,I-131o,Operational
30140,Iode 131 élémentaire gazeux et organique lié,I-131go,Operational
30141,Iode 131 aérosol,I-131a,Operational
30142,Iode 132,I-132,Operational
30143,Iode 132 élémentaire gazeux,I-132g,Operational
30144,Iode 132 organique lié,I-132o,Operational
30145,Iode 132 élémentaire gazeux et organique lié,I-132go,Operational
30146,Iode 132 aérosol,I-132a,Operational
30147,Iode 133,I-133,Operational
30148,Iode 133 élémentaire gazeux,I-133g,Operational
30149,Iode 133 organique lié,I-133o,Operational
30150,Iode 133 élémentaire gazeux et organique lié,I-133go,Operational
30151,Iode 133 aérosol,I-133a,Operational
30152,Iode 134,I-134,Operational
30153,Iode 134 élémentaire gazeux,I-134g,Operational
30154,Iode 134 organique lié,I-134o,Operational
30155,Iode 135,I-135,Operational
30156,Iode 135 élémentaire gazeux,I-135g,Operational
30157,Iode 135 organique lié,I-135o,Operational
30158,Iode 135 élémentaire gazeux et organique lié,I-135go,Operational
30159,Iode 135 aérosol,I-135a,Operational
30160,Xénon 131 métastable,Xe-131m,Operational
30161,Xénon 133,Xe-133,Operational
30162,Xénon 133 métastable,Xe-133m,Operational
30163,Xénon 135,Xe-135,Operational
30164,Xénon 135 métastable,Xe-135m,Operational
30165,Xénon 137,Xe-137,Operational
30166,Xénon 138,Xe-138,Operational
30167,"Xénon, somme de tous les isotopes de xénon",Xe-sum,Operational
30168,Césium 131,Cs-131,Operational
30169,Césium 134,Cs-134,Operational
30170,Césium 135,Cs-135,Operational
30171,Césium 136,Cs-136,Operational
30172,Césium 137,Cs-137,Operational
30173,Baryum 133,Ba-133,Operational
30174,Baryum 137 métastable,Ba-137m,Operational
30175,Baryum 140,Ba-140,Operational
30176,Cérium 139,Ce-139,Operational
30177,Cérium 141,Ce-141,Operational
30178,Cérium 143,Ce-143,Operational
30179,Cérium 144,Ce-144,Operational
30180,Lanthane 140,La-140,Operational
30181,Lanthane 141,La-141,Operational
30182,Praséodyme 143,Pr-143,Operational
30183,Praséodyme 144,Pr-144,Operational
30184,Praséodyme 144 métastable,Pr-144m,Operational
30185,Samarium 145,Sm-145,Operational
30186,Samarium 147,Sm-147,Operational
30187,Samarium 151,Sm-151,Operational
30188,Néodyme 147,Nd-147,Operational
30189,Prométhium 146,Pm-146,Operational
30190,Prométhium 147,Pm-147,Operational
30191,Prométhium 151,Pm-151,Operational
30192,Europium 152,Eu-152,Operational
30193,Europium 154,Eu-154,Operational
30194,Europium 155,Eu-155,Operational
30195,Gadolinium 153,Gd-153,Operational
30196,Terbium 160,Tb-160,Operational
30197,Holmium 166 métastable,Ho-166m,Operational
30198,Thulium 170,Tm-170,Operational
30199,Ytterbium 169,Yb-169,Operational
30200,Hafnium 175,Hf-175,Operational
30201,Hafnium 181,Hf-181,Operational
30202,Tantale 179,Ta-179,Operational
30203,Tantale 182,Ta-182,Operational
30204,Rhénium 184,Re-184,Operational
30205,Iridium 192,Ir-192,Operational
30206,Mercure 203,Hg-203,Operational
30207,Thallium 204,Tl-204,Operational
30208,Thallium 207,Tl-207,Operational
30209,Thallium 208,Tl-208,Operational
30210,Thallium 209,Tl-209,Operational
30211,Bismuth 205,Bi-205,Operational
30212,Bismuth 207,Bi-207,Operational
30213,Bismuth 210,Bi-210,Operational
30214,Bismuth 211,Bi-211,Operational
30215,Bismuth 212,Bi-212,Operational
30216,Bismuth 213,Bi-213,Operational
30217,Bismuth 214,Bi-214,Operational
30218,Polonium 208,Po-208,Operational
30219,Polonium 210,Po-210,Operational
30220,Polonium 212,Po-212,Operational
30221,Polonium 213,Po-213,Operational
30222,Polonium 214,Po-214,Operational
30223,Polonium 215,Po-215,Operational
30224,Polonium 216,Po-216,Operational
30225,Polonium 218,Po-218,Operational
30226,Plomb 209,Pb-209,Operational
30227,Plomb 210,Pb-210,Operational
30228,Plomb 211,Pb-211,Operational
30229,Plomb 212,Pb-212,Operational
